allergen_id,dataset_category,name_en,name_ar
dairy,Dairy allergy,Dairy,الحليب ومشتقاته
egg,Egg allergy,Egg,البيض
fish,Fish allergy,Fish,الأسماك
peanut,Peanut allergy,Peanut,الفول السوداني
soy,Soy allergy,Soy,فول الصويا
wheat,Wheat allergy,Wheat,القمح
tree_nut,Tree nut allergy,Tree nuts,المكسرات الشجرية
shellfish,Shellfish allergy,Crustacean shellfish,القشريات
sesame,Sesame allergy,Sesame,السمسم
celery,Celery allergy,Celery,الكرفس
mustard,Mustard allergy,Mustard,الخردل
lupin,Lupin allergy,Lupin,الترمس
molluscs,Molluscs allergy,Molluscs,الرخويات
sulphites,Sulphites allergy,Sulphites,الكبريتيت
