Allergen_Category,Keyword
Dairy allergy,milk
Dairy allergy,butter
Dairy allergy,cream
Dairy allergy,cheese
Dairy allergy,whey
Dairy allergy,casein
Dairy allergy,caseinate
Dairy allergy,yogurt
Dairy allergy,ghee
Dairy allergy,lactose
Dairy allergy,buttermilk
Dairy allergy,curd
Dairy allergy,condensed milk
Dairy allergy,sour cream
Dairy allergy,custard
Dairy allergy,حليب
Dairy allergy,لبن
Dairy allergy,زبادي
Dairy allergy,قشطة
Dairy allergy,زبدة
Dairy allergy,جبن
Dairy allergy,لاكتوز
Dairy allergy,كازين
Dairy allergy,سمن
Dairy allergy,مصل اللبن
Dairy allergy,خثارة الحليب
Egg allergy,egg
Egg allergy,eggs
Egg allergy,mayonnaise
Egg allergy,meringue
Egg allergy,albumin
Egg allergy,ovalbumin
Egg allergy,lysozyme
Egg allergy,yolk
Egg allergy,egg white
Egg allergy,egg powder
Egg allergy,بيض
Egg allergy,صفار البيض
Egg allergy,بياض البيض
Egg allergy,مايونيز
Egg allergy,ألبومين
Egg allergy,مسحوق البيض
Wheat allergy,wheat
Wheat allergy,flour
Wheat allergy,breadcrumbs
Wheat allergy,semolina
Wheat allergy,couscous
Wheat allergy,barley
Wheat allergy,rye
Wheat allergy,malt
Wheat allergy,gluten
Wheat allergy,durum
Wheat allergy,bulgur
Wheat allergy,spelt
Wheat allergy,wheat starch
Wheat allergy,bran
Wheat allergy,قمح
Wheat allergy,دقيق
Wheat allergy,جلوتين
Wheat allergy,شعير
Wheat allergy,سميد
Wheat allergy,برغل
Wheat allergy,كسكسي
Wheat allergy,نشا القمح
Wheat allergy,بقصمات
Wheat allergy,نخالة
Wheat allergy,جودار
Peanut allergy,peanut
Peanut allergy,peanuts
Peanut allergy,peanut oil
Peanut allergy,peanut butter
Peanut allergy,groundnut
Peanut allergy,foul sudani
Peanut allergy,فول سوداني
Peanut allergy,زبدة الفول
Peanut allergy,زيت الفول السوداني
Peanut allergy,فول أرضي
Tree nut allergy,almond
