allergen_id,source_id,jurisdiction,scope_note
dairy,SFDA_2011,Saudi Arabia,"Milk and products are named"
egg,SFDA_2011,Saudi Arabia,"Eggs and products are named"
fish,SFDA_2011,Saudi Arabia,"Fish and products are named"
peanut,SFDA_2011,Saudi Arabia,"Peanuts are named"
soy,SFDA_2011,Saudi Arabia,"Soybeans are named"
wheat,SFDA_2011,Saudi Arabia,"Wheat is named among cereals"
tree_nut,SFDA_2011,Saudi Arabia,"Nuts and walnuts are named"
shellfish,SFDA_2011,Saudi Arabia,"Crustaceans and examples are named"
sulphites,SFDA_2011,Saudi Arabia,"Concentration wording requires regulatory review"
dairy,EC_2026,European Union,"One of the 14 declaration categories"
egg,EC_2026,European Union,"One of the 14 declaration categories"
fish,EC_2026,European Union,"One of the 14 declaration categories"
peanut,EC_2026,European Union,"One of the 14 declaration categories"
soy,EC_2026,European Union,"One of the 14 declaration categories"
wheat,EC_2026,European Union,"EU category is cereals containing gluten"
tree_nut,EC_2026,European Union,"One of the 14 declaration categories"
shellfish,EC_2026,European Union,"EU category is crustaceans"
sesame,EC_2026,European Union,"One of the 14 declaration categories"
celery,EC_2026,European Union,"One of the 14 declaration categories"
mustard,EC_2026,European Union,"One of the 14 declaration categories"
lupin,EC_2026,European Union,"One of the 14 declaration categories"
molluscs,EC_2026,European Union,"One of the 14 declaration categories"
sulphites,EC_2026,European Union,"Keyword matching cannot evaluate concentration"
dairy,FDA_WEB,United States,"Major food allergen: milk"
egg,FDA_WEB,United States,"Major food allergen"
fish,FDA_WEB,United States,"Major food allergen"
peanut,FDA_WEB,United States,"Major food allergen"
soy,FDA_WEB,United States,"Major food allergen"
wheat,FDA_WEB,United States,"Major food allergen"
tree_nut,FDA_WEB,United States,"Major food allergen"
shellfish,FDA_WEB,United States,"Major food allergen: crustacean shellfish"
sesame,FDA_WEB,United States,"Major food allergen effective 2023"
